"kommunenr_2024","år","kommunenr_hist_kilder","Y_4_ialt","folk_0_66","folk_67_79","folk_80p","folk_ialt","Y_1_a_ialt","Y_1_a_0_66","Y_1_a_67_79","Y_1_a_80p","Y_2_ialt","Y_3_a_ialt","Y_3_a_0_66","Y_3_a_67_79","Y_3_a_80p","Y_5_ialt"
"1106",2024,"1106",9.5,32077,4533,1682,38292,1248,622,,376,180,239,17,59,163,276
"1106",2025,"1106",9.4,32047,4602,1792,38441,1189,525,,392,175,239,21,62,156,273
"1108",2007,"1102+1129",,55758,3884,1968,61610,1722,741,307,674,,,,,,
"1108",2008,"1102+1129",4.3511590296496,57217,3954,1982,63153,1855,821,337,697,266,,,,,
"1108",2009,"1102+1129",6.39218130311615,58508,4040,2017,64565,1765,736,325,704,281,224,0,37,168,
"1108",2010,"1102+1129",6.44142394822006,59613,4170,2037,65820,1854,855,307,692,331,233,0,36,176,
"1108",2011,"1102+1129",5.99546391752577,60980,4319,2112,67411,1940,916,309,715,310,234,0,34,180,
"1108",2012,"1102+1129",5.62835322195704,62371,4513,2120,69004,2095,1126,283,686,296,249,0,51,178,
"1108",2013,"1102+1129",5.25443159922929,64363,4753,2157,71273,2076,1109,308,659,289,264,0,51,190,
"1108",2014,"1102+1129",4.81162458313483,65997,5004,2141,73142,2099,1145,308,646,252,310,20,61,219,
"1108",2015,"1102+1129",4.59077216396568,67391,5272,2169,74832,2098,1151,309,638,258,330,20,72,231,310.76
"1108",2016,"1102+1129",3.71245239201115,68353,5498,2207,76058,2153,1215,323,615,232,358,23,82,249,314.835
"1108",2017,"1102+1129",3.41363220494053,68817,5694,2231,76742,2186,1318,,564,246,392,,8,282,359
"1108",2018,"1102+1129",3.46176072234763,69352,5994,2228,77574,2215,1326,,568,260,383,25,74,284,362.75
"1108",2019,"1102+1129",3.40373443983402,69897,6273,2269,78439,2169,1284,,540,282,381,26,76,275,391.09
"1108",2020,"1108",2.9,70696,6518,2323,79537,2179,1295,,543,280,391,27,90,274,390.01
"1108",2021,"1108",2.6,71239,6806,2405,80450,2439,1483,,590,278,403,30,98,275,388.92
"1108",2022,"1108",2.6,71695,7128,2482,81305,2469,1506,,572,281,403,28,95,280,400.02
"1108",2023,"1108",2.8,72554,7413,2581,82548,2373,1413,,570,281,398,32,94,272,389.845
"1108",2024,"1108",3.1,73301,7672,2729,83702,2138,1203,,566,279,396,31,96,269,401
"1108",2025,"1108",3,74213,7837,2858,84908,2022,1079,,583,285,396,31,108,257,412
"1111",2007,"1111",,2709,308,249,3266,184,66,31,87,,,,,,
"1111",2008,"1111",8,2697,313,232,3242,198,72,37,89,42,,,,,
"1111",2009,"1111",3.1,2711,314,221,3246,120,33,31,56,38,33,0,,30,
"1111",2010,"1111",4.4,2758,313,214,3285,143,41,33,69,41,41,0,,32,
"1111",2011,"1111",2.6,2734,322,209,3265,71,39,9,23,42,41,0,,34,
"1111",2012,"1111",3.9,2720,323,214,3257,171,59,34,78,43,44,0,,36,
"1111",2013,"1111",4.1,2745,331,210,3286,167,58,27,82,40,45,0,,38,
"1111",2014,"1111",3.8,2772,326,205,3303,173,74,26,73,41,39,0,,31,
"1111",2015,"1111",4.09,2773,334,202,3309,177,82,29,66,39,37,0,,28,21.905
"1111",2016,"1111",4.28,2780,342,191,3313,176,85,33,58,39,35,0,,28,20.105
"1111",2017,"1111",3.3,2766,357,193,3316,214,112,,64,38,26,,6,13,22.86
"1111",2018,"1111",3.9,2772,376,183,3331,180,88,,61,38,32,,,25,19.17
"1111",2019,"1111",3.1,2739,382,184,3305,174,90,,55,34,37,,,28,19.22
"1111",2020,"1111",4.1,2697,397,186,3280,159,81,,53,34,33,,,25,22.14
"1111",2021,"1111",3.9,2656,406,195,3257,176,89,,57,34,32,,,25,21.915
"1111",2022,"1111",3.2,2658,428,195,3281,182,104,,47,33,26,,,18,23.77
"1111",2023,"1111",3.2,2698,446,180,3324,178,91,,52,25,27,,,18,23.005
"1111",2024,"1111",2.8,2693,466,188,3347,172,83,,55,32,27,,,18,24
"1111",2025,"1111",2.5,2699,483,189,3371,170,79,,58,36,25,,,19,23
"1112",2007,"1112",,2682,261,177,3120,103,26,17,60,,,,,,
"1112",2008,"1112",4.2,2685,254,173,3112,106,30,14,62,,,,,,
"1112",2009,"1112",4.8,2671,269,171,3111,95,21,9,65,,34,0,,29,
"1112",2010,"1112",5.4,2717,255,167,3139,100,24,12,64,,31,0,,15,
"1112",2011,"1112",3.2,2764,260,162,3186,97,19,14,64,,31,0,,15,
"1112",2012,"1112",3,2762,267,154,3183,107,20,23,64,,24,0,,12,
"1112",2013,"1112",3.1,2738,284,151,3173,112,25,24,63,,26,0,5,21,
"1112",2014,"1112",3.1,2772,298,155,3225,113,30,25,58,,25,0,5,20,
"1112",2015,"1112",2.975,2790,314,143,3247,112,30,31,51,,27,,5,20,17.195
"1112",2016,"1112",3.885,2778,317,148,3243,122,39,30,53,,25,0,,14,19.91
"1112",2017,"1112",6,2767,337,155,3259,159,67,,60,,25,,,13,19
"1112",2018,"1112",4.1,2722,347,168,3237,173,80,,62,6,23,,,11,20.23
"1112",2019,"1112",4.5,2699,347,167,3213,177,81,,66,,22,,5,17,23.22
"1112",2020,"1112",4.5,2680,357,165,3202,141,62,,63,7,21,,,10,20.03
"1112",2021,"1112",4.6,2635,366,173,3174,159,76,,60,7,21,,,11,19.09
"1112",2022,"1112",6.9,2629,367,182,3178,140,53,,65,8,20,,,10,18.965
"1112",2023,"1112",5.7,2641,392,173,3206,139,63,,53,29,25,,7,18,18.965
"1112",2024,"1112",7.4,2642,421,163,3226,204,129,,52,29,26,,,20,19
"1112",2025,"1112",9.8,2656,432,171,3259,215,139,,48,42,25,,,20,23
"1114",2007,"1114",,2197,165,145,2507,48,13,10,25,,,,,,
