"kommunenr_2024","år","folk_ialt","demens_estimert","demensandel","y2s_predikert","y2s_predikert_modell"
"1119",2030,19822,430.309827,0.0217086987690445,154.348547973006,194.394191892022
"1119",2031,19919,447.752191,0.0224786480747025,157.577550425779,198.661044959231
"1119",2032,20014,467.822574,0.0233747663635455,161.331050944682,203.557079829792
"1119",2033,20109,490.817927,0.0244078734397533,165.720530470368,209.194566814808
"1119",2034,20204,514.094514,0.0254451848148881,170.60125738183,215.003143454574
"1119",2035,20300,534.774903,0.0263435912807882,175.697710458335,220.309052476195
"1119",2036,20398,554.943013,0.0272057561035396,181.177498853421,225.584208112465
"1119",2037,20494,574.461949,0.0280307382160632,187.007207443782,230.770160865917
"1119",2038,20589,596.097563,0.0289522348341347,193.556478144125,236.557232989318
"1119",2039,20682,620.409953,0.0299975801663282,200.994387239252,243.118105939152
"1119",2040,20772,640.099095,0.0308154773252455,208.238020473442,248.580832757507
"1119",2041,20858,657.558303,0.0315254723846965,215.54062027503,253.514143811366
"1119",2042,20942,677.304565,0.0323419236462611,223.682989152077,259.118555931539
"1119",2043,21022,697.976635,0.0332021993625725,232.483927079576,265.046002819764
"1119",2044,21098,719.522892,0.0341038435870699,241.9816835137,271.29894646929
"1119",2045,21170,736.971817,0.0348120839395371,251.071036918915,276.472045438664
"1119",2046,21236,752.770414,0.0354478439442456,260.182789411655,281.215046366653
"1119",2047,21298,771.386956,0.0362187508686262,270.423274328501,286.829041496903
"1119",2048,21356,785.568185,0.0367844252200787,279.924434627678,291.188577975868
"1119",2049,21408,806.76272,0.0376851046337818,291.825147143253,297.701451577406
"1119",2050,21457,825.652195,0.0384793864473132,303.608708430549,303.608708430549
"1120",2026,20591,349.683849,0.0169823636054587,101.287149038402,121.871490384024
"1120",2027,20735,364.97502,0.0176018818422956,102.49209135145,124.397028010547
"1120",2028,20875,383.340048,0.0183635951137725,103.959437765674,127.339644375281
"1120",2029,21013,403.290817,0.0191924435825441,105.699064173586,130.5250078757
"1120",2030,21150,424.754443,0.0200829523877069,107.7395975027,133.958390010799
"1120",2031,21285,439.4754,0.0206471881606765,109.777366275029,136.486491391406
"1120",2032,21419,458.783087,0.0214194447453196,112.222280920304,139.683941293244
"1120",2033,21553,477.039373,0.0221333166148564,114.866037399095,142.768379031986
"1120",2034,21686,497.154313,0.0229251274093885,117.862940239224,146.15735059806
"1120",2035,21820,517.307934,0.0237079713107241,121.136918957181,149.598671902129
"1120",2036,21955,535.536121,0.0243924445912093,124.551824584042,152.793314913772
"1120",2037,22088,552.960668,0.0250344380659181,128.156804595322,155.891326039654
"1120",2038,22219,570.192326,0.0256623757144786,131.990768434159,158.983215334834
"1120",2039,22348,589.373511,0.0263725394218722,136.252160215432,162.407932281586
"1120",2040,22473,609.318891,0.0271133756507809,140.864137945013,165.982620712021
"1120",2041,22594,625.418268,0.0276807235549261,145.347675534156,168.958755523254
"1120",2042,22710,643.712977,0.0283449131219727,150.316886062543,172.309837232204
"1120",2043,22823,660.079916,0.0289216981115541,155.3186960985,175.364333692882
"1120",2044,22931,679.112227,0.0296154649600977,160.912073675478,178.886546678036
"1120",2045,23034,700.515422,0.0304122350438482,167.125755279272,182.847083420642
"1120",2046,23132,720.878264,0.0311636807885181,173.516227102795,186.6661495327
"1120",2047,23225,743.471515,0.0320116906350915,180.581772654683,190.923124117953
"1120",2048,23312,765.782395,0.0328492791266301,187.965885224992,195.17933537837
"1120",2049,23393,789.623879,0.0337547077758304,195.993546962089,199.772516324248
"1120",2050,23469,819.601523,0.0349227288337807,205.604584987789,205.604584987789
"1121",2026,19833,362.776324,0.01829155064791,143.257342009844,163.573420098437
"1121",2027,20018,376.380856,0.0188021208911979,144.5684203548,166.952148034909
