"år","kommunenr_2024","observert","predikert"
2013,"1103",1381,1276.53733922526
2013,"1106",365,377.35658778691
2013,"1108",553,568.62186755686
2013,"1111",85,69.596255206053
2013,"1119",168,151.21921915274
2013,"1120",126,96.0095881718971
2013,"1121",107,113.189378012261
2013,"1122",71,70.5965849775518
2013,"1124",178,160.635278766664
2013,"1127",69,78.8725382165302
2013,"1130",167,143.914556606352
2013,"1134",79,68.6397176730772
2013,"1146",78,78.2655406553694
2013,"1149",350,316.164587700066
2013,"1160",90,83.9912748412037
2013,"1505",285,268.716738867063
2013,"1506",394,362.003744666919
2013,"1508",584,522.126560835628
2013,"1511",85,62.6029700346817
2013,"1514",43,49.348968447419
2013,"1515",105,101.016614408441
2013,"1516",98,95.8890473087964
2013,"1517",49,49.612794567838
2013,"1520",175,176.414414359232
2013,"1525",122,107.451796774255
2013,"1528",114,102.168813553138
2013,"1531",92,87.1550203242018
2013,"1532",123,103.799884434016
2013,"1535",188,163.846368360787
2013,"1539",136,114.309053648366
2013,"1547",49,41.8203044179349
2013,"1554",69,66.409753699409
2013,"1557",33,33.6463109192852
2013,"1560",37,39.7630451021288
2013,"1563",99,78.4415302303729
2013,"1573",35,31.8628111614634
2013,"1576",45,49.4444382038844
2013,"1577",177,176.574850949523
2013,"1578",81,57.5777598765013
2013,"1579",170,149.097511835396
2013,"1580",108,102.318577128149
2013,"1804",389,377.116752045866
2013,"1812",59,41.4095074994187
2013,"1813",87,94.4010567578077
2013,"1818",40,34.779218882118
2013,"1820",125,104.250769964069
2013,"1824",214,191.55229802359
2013,"1826",14,16.4198619111411
2013,"1832",104,96.851347229568
2013,"1833",471,411.138262128998
2013,"1834",42,53.2365504788674
2013,"1836",31,30.6017310376661
2013,"1837",107,98.0793315856312
2013,"1838",58,54.5284726910534
2013,"1840",90,84.6114610450267
2013,"1841",97,87.9113673389456
2013,"1848",62,49.9503777135453
2013,"1851",43,39.407058560246
2013,"1853",41,36.2191857206777
2013,"1859",22,23.1110406707026
2013,"1865",174,139.928386802926
2013,"1867",50,49.7449494709185
2013,"1868",54,51.028538094
2013,"1870",96,99.1174673342665
2013,"1871",139,107.124262526721
2013,"1874",24,24.5699310909327
2013,"3101",487,436.894561482873
