"kommunenr_2024","år","timer","kilder"
"1149",2012,327700,"1149"
"1149",2013,341250,"1149"
"1149",2014,374399,"1149"
"1149",2015,338172,"1149"
"1149",2016,348994,"1149"
"1149",2017,335578,"1149"
"1149",2018,356955,"1149"
"1149",2019,290835,"1149"
"1149",2020,229384,"1149"
"1149",2021,175895,"1149"
"1149",2022,156917,"1149"
"1149",2023,129847,"1149"
"1149",2024,131903,"1149"
"1149",2025,132351,"1149"
"1151",2009,183,"1151"
"1151",2010,211,"1151"
"1151",2011,218,"1151"
"1151",2012,191,"1151"
"1151",2013,339,"1151"
"1151",2014,0,"1151"
"1151",2015,0,"1151"
"1151",2016,0,"1151"
"1151",2017,0,"1151"
"1151",2018,0,"1151"
"1151",2019,0,"1151"
"1151",2020,0,"1151"
"1151",2021,0,"1151"
"1151",2022,0,"1151"
"1151",2023,0,"1151"
"1151",2024,0,"1151"
"1151",2025,0,"1151"
"1160",2009,45531,"1154+1159+1160+1214"
"1160",2010,43323,"1154+1159+1160+1214"
"1160",2011,40173,"1154+1159+1160+1214"
"1160",2012,42129,"1154+1159+1160+1214"
"1160",2013,48195,"1154+1159+1160+1214"
"1160",2014,47706,"1154+1159+1160+1214"
"1160",2015,52029,"1154+1159+1160+1214"
"1160",2016,21859,"1154+1159+1160+1214"
"1160",2017,59450,"1154+1159+1160+1214"
"1160",2018,70430,"1154+1159+1160+1214"
"1160",2019,62118,"1154+1159+1160+1214"
"1160",2020,62538,"1154+1159+1160+1214"
"1160",2021,59594,"1154+1159+1160+1214"
"1160",2022,56543,"1154+1159+1160+1214"
"1160",2023,50399,"1154+1159+1160+1214"
"1160",2024,52805,"1154+1159+1160+1214"
"1160",2025,52848,"1154+1159+1160+1214"
"1505",2009,132595,"1503+1505+1556"
"1505",2010,168339,"1503+1505+1556"
"1505",2011,195478,"1503+1505+1556"
"1505",2012,210042,"1503+1505+1556"
"1505",2013,218892,"1503+1505+1556"
"1505",2014,206618,"1503+1505+1556"
"1505",2015,231475,"1503+1505+1556"
"1505",2016,256922,"1503+1505+1556"
"1505",2017,274996,"1503+1505+1556"
"1505",2018,337000,"1503+1505+1556"
"1505",2019,300606,"1503+1505+1556"
"1505",2020,302354,"1503+1505+1556"
"1505",2021,315288,"1503+1505+1556"
"1505",2022,322032,"1503+1505+1556"
"1505",2023,293825,"1503+1505+1556"
"1505",2024,309740,"1503+1505+1556"
"1505",2025,254381,"1503+1505+1556"
"1506",2009,150332,"1502+1506+1543+1545"
"1506",2010,168911,"1502+1506+1543+1545"
"1506",2011,171152,"1502+1506+1543+1545"
"1506",2012,188755,"1502+1506+1543+1545"
"1506",2013,206698,"1502+1506+1543+1545"
"1506",2014,214989,"1502+1506+1543+1545"
"1506",2015,204470,"1502+1506+1543+1545"
"1506",2016,207590,"1502+1506+1543+1545"
"1506",2017,194732,"1502+1506+1543+1545"
"1506",2018,166848,"1502+1506+1543+1545"
"1506",2019,151976,"1502+1506+1543+1545"
"1506",2020,126979,"1502+1506+1543+1545"
"1506",2021,124951,"1502+1506+1543+1545"
"1506",2022,110047,"1502+1506+1543+1545"
"1506",2023,92589,"1502+1506+1543+1545"
"1506",2024,87498,"1502+1506+1543+1545"
"1506",2025,86628,"1502+1506+1543+1545"
"1508",2009,319220,"1504+1507+1508+1523+1529+1546"
"1508",2010,342747,"1504+1507+1508+1523+1529+1546"
"1508",2011,342806,"1504+1507+1508+1523+1529+1546"
"1508",2012,341330,"1504+1507+1508+1523+1529+1546"
"1508",2013,305357,"1504+1507+1508+1523+1529+1546"
"1508",2014,300757,"1504+1507+1508+1523+1529+1546"
"1508",2015,312703,"1504+1507+1508+1523+1529+1546"
"1508",2016,310835,"1504+1507+1508+1523+1529+1546"
"1508",2017,325915,"1504+1507+1508+1523+1529+1546"
"1508",2018,347898,"1504+1507+1508+1523+1529+1546"
"1508",2019,320145,"1504+1507+1508+1523+1529+1546"
"1508",2020,468200,"1504+1507+1508+1523+1529+1546"
"1508",2021,577641,"1504+1507+1508+1523+1529+1546"
"1508",2022,580874,"1504+1507+1508+1523+1529+1546"
"1508",2023,406948,"1504+1507+1508+1523+1529+1546"
"1508",2024,332416,"1504+1507+1508+1523+1529+1546"
"1508",2025,378151,"1504+1507+1508+1523+1529+1546"
"1511",2009,14930,"1511"
"1511",2010,19417,"1511"
"1511",2011,26173,"1511"
"1511",2012,40991,"1511"
"1511",2013,43124,"1511"
"1511",2014,40499,"1511"
"1511",2015,49525,"1511"
"1511",2016,57040,"1511"
"1511",2017,61276,"1511"
"1511",2018,59823,"1511"
"1511",2019,60329,"1511"
"1511",2020,58203,"1511"
"1511",2021,44237,"1511"
"1511",2022,45290,"1511"
"1511",2023,38403,"1511"
"1511",2024,27678,"1511"
"1511",2025,20807,"1511"
"1514",2009,12566,"1514"
"1514",2010,19871,"1514"
"1514",2011,23149,"1514"
"1514",2012,23285,"1514"
"1514",2013,21832,"1514"
"1514",2014,25847,"1514"
"1514",2015,30864,"1514"
"1514",2016,33596,"1514"
"1514",2017,34987,"1514"
"1514",2018,28821,"1514"
"1514",2019,29838,"1514"
"1514",2020,28818,"1514"
"1514",2021,33532,"1514"
"1514",2022,42031,"1514"
"1514",2023,38149,"1514"
"1514",2024,40573,"1514"
"1514",2025,33443,"1514"
"1515",2009,26301,"1515"
"1515",2010,30964,"1515"
"1515",2011,35901,"1515"
"1515",2012,34973,"1515"
"1515",2013,35678,"1515"
"1515",2014,33750,"1515"
"1515",2015,31101,"1515"
"1515",2016,37450,"1515"
"1515",2017,52650,"1515"
"1515",2018,51803,"1515"
"1515",2019,57059,"1515"
"1515",2020,59788,"1515"
"1515",2021,49515,"1515"
"1515",2022,50216,"1515"
"1515",2023,55902,"1515"
"1515",2024,62154,"1515"
"1515",2025,57293,"1515"
"1516",2009,46583,"1516"
"1516",2010,51248,"1516"
"1516",2011,68248,"1516"
"1516",2012,71204,"1516"
"1516",2013,75191,"1516"
"1516",2014,71347,"1516"
"1516",2015,69118,"1516"
"1516",2016,70520,"1516"
"1516",2017,64010,"1516"
"1516",2018,65359,"1516"
"1516",2019,70186,"1516"
"1516",2020,75619,"1516"
"1516",2021,86343,"1516"
"1516",2022,100333,"1516"
"1516",2023,107180,"1516"
