"kommunenr_2024","år","folk_ialt","demens_estimert","demensandel","y1_predikert","y1_predikert_modell"
"1120",2043,22823,660.079916,0.0289216981115541,1143.32855584254,1271.93702487124
"1120",2044,22931,679.112227,0.0296154649600977,1185.14098958852,1302.1819220497
"1120",2045,23034,700.515422,0.0304122350438482,1232.57061007925,1336.54844317447
"1120",2046,23132,720.878264,0.0311636807885181,1281.64397833514,1369.81644510016
"1120",2047,23225,743.471515,0.0320116906350915,1336.91712966342,1407.25873764892
"1120",2048,23312,765.782395,0.0328492791266301,1395.20251057613,1444.92163305528
"1120",2049,23393,789.623879,0.0337547077758304,1459.52067783054,1485.91758735641
"1120",2050,23469,819.601523,0.0349227288337807,1538.63077919213,1538.63077919213
"1121",2026,19833,362.776324,0.01829155064791,625.222254768551,717.222547685508
"1121",2027,20018,376.380856,0.0188021208911979,631.360713410907,733.987006624779
"1121",2028,20199,393.940768,0.019502983712065,639.466481790806,754.808467376037
"1121",2029,20377,411.582424,0.0201983817048633,649.197457942817,775.92921384855
"1121",2030,20550,427.946952,0.0208246691970803,660.223943320244,795.895773280974
"1121",2031,20721,448.088432,0.0216248459051204,673.963531676752,820.090544962616
"1121",2032,20889,467.169513,0.0223643790033032,689.248275441946,843.456232129064
"1121",2033,21055,484.433509,0.0230080032771313,705.661363593395,865.10031336109
"1121",2034,21219,505.934665,0.023843473537867,725.7120282086,891.780070521501
"1121",2035,21383,527.850269,0.0246855104054623,748.171117592349,919.39112592537
"1121",2036,21547,549.905183,0.0255211947370864,773.003214297451,947.638345889372
"1121",2037,21709,570.649616,0.026286315168824,799.368419961944,974.743258462331
"1121",2038,21868,590.003699,0.0269802313426011,827.024920919131,1000.4998562166
"1121",2039,22023,613.654144,0.0278642393860964,859.983275171431,1031.99280880244
"1121",2040,22174,637.604823,0.0287546145485704,895.884875634606,1064.41580101537
"1121",2041,22319,657.469932,0.029457857968547,930.990106334157,1091.96619824024
"1121",2042,22459,679.981545,0.0302765726434837,970.907358725663,1123.4390838938
"1121",2043,22591,700.400264,0.0310035086538887,1011.40498498547,1152.49828472606
"1121",2044,22717,724.066446,0.0318733303693269,1057.9411324047,1186.53694503832
"1121",2045,22836,743.317797,0.0325502626116658,1102.345278096,1214.80957304123
"1121",2046,22948,765.114505,0.0333412282116089,1152.35864521308,1247.18664142715
"1121",2047,23054,784.783294,0.0340410902229548,1202.44526039782,1276.91015256093
"1121",2048,23152,806.743938,0.0348455398237733,1258.40028448894,1310.56787512318
"1121",2049,23244,828.028589,0.0356233259765961,1316.44241476655,1343.7713400172
"1121",2050,23331,848.997821,0.0363892598259826,1377.05735987954,1377.05735987954
"1122",2026,12545,178.540406,0.0142319972897569,460.418520312336,437.18520312336
"1122",2027,12648,188.623811,0.0149133310404807,461.072147285668,448.979252986674
"1122",2028,12748,202.656319,0.0158971069187323,463.304780047765,464.741600272942
"1122",2029,12846,213.028565,0.0165832605480305,465.994915691735,477.093720902281
"1122",2030,12940,222.060879,0.0171608098145286,469.289276734931,488.157106939723
"1122",2031,13032,236.167141,0.0181220949201964,474.95660827218,504.588202685842
"1122",2032,13122,248.07584,0.0189053376009755,481.186929518447,518.959783133684
"1122",2033,13211,264.208081,0.0199990977972901,490.252678438042,538.179802587701
"1122",2034,13299,278.416107,0.0209351159485676,500.066662068254,555.666655170635
"1122",2035,13387,290.36803,0.0216902987973407,510.204152802436,570.895206405568
"1122",2036,13475,304.46952,0.0225951406307978,522.800888118441,588.89660656514
"1122",2037,13561,319.56838,0.0235652518250866,537.529868719183,608.424134086212
"1122",2038,13646,334.468985,0.0245104048805511,553.806850228329,628.103364051508
"1122",2039,13729,351.074161,0.0255717212469954,573.062971365089,650.341227855471
"1122",2040,13811,364.889297,0.0264201938310043,592.015681397386,669.425090235818
"1122",2041,13890,378.592177,0.0272564562275018,612.505198449642,688.668224074932
"1122",2042,13967,395.006175,0.0282813900622897,637.27688943898,711.966984912829
"1122",2043,14041,408.431056,0.0290884592265508,661.053755453406,731.547465021568
"1122",2044,14111,425.586905,0.0301599394089717,690.718299220346,756.830063510124
"1122",2045,14177,440.209643,0.0310509729138746,719.695032262691,778.932347400235
"1122",2046,14238,455.961928,0.0320242961090041,752.143099243099,803.168352050704
