"kommunenr_2024","år","y2s_predikert","y2s_nedre","y2s_ovre","n_bootstrap_ok"
"1119",2050,303.608708430549,262.186484462513,440.979146714592,60
"1120",2026,101.287149038402,100.628324798213,104.247882582817,60
"1120",2027,102.49209135145,101.560679360812,106.760275048186,60
"1120",2028,103.959437765674,102.735170065815,109.70207379498,60
"1120",2029,105.699064173586,104.160694971886,113.094934534815,60
"1120",2030,107.7395975027,105.863306466035,116.994171599841,60
"1120",2031,109.777366275029,107.564965239303,120.863698574723,60
"1120",2032,112.222280920304,109.640349159356,125.435044460079,60
"1120",2033,114.866037399095,111.803735747219,130.343069083917,60
"1120",2034,117.862940239224,114.255149889725,135.882129932768,60
"1120",2035,121.136918957181,116.93415152464,141.906974154199,60
"1120",2036,124.551824584042,119.732991459809,148.167254689026,60
"1120",2037,128.156804595322,122.689012957333,154.75967318962,60
"1120",2038,131.990768434159,125.83235008839,161.759684533604,60
"1120",2039,136.252160215432,129.317782464437,169.604850247288,60
"1120",2040,140.864137945013,133.081238465119,178.293523251028,60
"1120",2041,145.347675534156,136.741964087715,186.705499509541,60
"1120",2042,150.316886062543,140.782090305473,196.116192753112,60
"1120",2043,155.3186960985,144.852038218888,205.583742356445,60
"1120",2044,160.912073675478,149.379802888683,216.296142823214,60
"1120",2045,167.125755279272,154.384371451782,228.339587589547,60
"1120",2046,173.516227102795,159.523386641392,240.787135841185,60
"1120",2047,180.581772654683,165.175952106463,254.725804254743,60
"1120",2048,187.965885224992,171.066142531651,269.412682140788,60
"1120",2049,195.993546962089,177.438431106153,285.58177339993,60
"1120",2050,205.604584987789,184.999448622496,305.851833323557,60
"1121",2026,143.257342009844,142.839765714478,144.167184262023,60
"1121",2027,144.5684203548,143.93018377679,146.006936711731,60
"1121",2028,146.260930036693,145.335430568775,148.428496264349,60
"1121",2029,148.270295832885,147.004561478157,151.350817555073,60
"1121",2030,150.534099698987,148.887842337133,154.691735481968,60
"1121",2031,153.30908181757,151.180387317446,158.904487507973,60
"1121",2032,156.380432778285,153.678475471815,163.607179735039,60
"1121",2033,159.67254236482,156.348080872041,168.660550471947,60
"1121",2034,163.63425716614,159.512372697615,174.925709621706,60
"1121",2035,168.042582561952,163.011098457262,181.993527269668,60
"1121",2036,172.888965803595,166.83397673358,189.860072606192,60
"1121",2037,178.021057344774,170.875786191049,198.242154782225,60
"1121",2038,183.394531991725,175.104097287407,207.058813602261,60
"1121",2039,189.710792554673,179.995123112196,217.743362274644,60
"1121",2040,196.548786472591,185.255612715387,229.482633638816,60
"1121",2041,203.252222831281,190.43567997609,240.870171227937,60
"1121",2042,210.796296184761,196.194592340773,253.943117954682,60
