"kommunenr_2024","år","folk_ialt","demens_estimert","demensandel","y5p_predikert","y5p_predikert_modell"
"1119",2040,20772,640.099095,0.0308154773252455,118.065650002116,124.105040003385
"1119",2041,20858,657.558303,0.0315254723846965,119.22491096379,124.943261832136
"1119",2042,20942,677.304565,0.0323419236462611,120.475422596524,125.822032280748
"1119",2043,21022,697.976635,0.0332021993625725,121.792113437627,126.701170762884
"1119",2044,21098,719.522892,0.0341038435870699,123.174301597578,127.579743996874
"1119",2045,21170,736.971817,0.0348120839395371,124.532383077965,128.34754840365
"1119",2046,21236,752.770414,0.0354478439442456,125.89059214917,129.047755469611
"1119",2047,21298,771.386956,0.0362187508686262,127.33896069943,129.790378252879
"1119",2048,21356,785.568185,0.0367844252200787,128.732654781984,130.413680845388
"1119",2049,21408,806.76272,0.0376851046337818,130.294475618719,131.163091551916
"1119",2050,21457,825.652195,0.0384793864473132,131.846212502899,131.846212502899
"1120",2026,20591,349.683849,0.0169823636054587,98.7837834705091,105.837834705092
"1120",2027,20735,364.97502,0.0176018818422956,99.2127555543961,106.820040395608
"1120",2028,20875,383.340048,0.0183635951137725,99.7222876586297,107.841643763598
"1120",2029,21013,403.290817,0.0191924435825441,100.312961185784,108.884523227216
"1120",2030,21150,424.754443,0.0200829523877069,100.98809276175,109.952371046998
"1120",2031,21285,439.4754,0.0206471881606765,101.703876581188,110.883048978045
"1120",2032,21419,458.783087,0.0214194447453196,102.516553110561,111.897086494033
"1120",2033,21553,477.039373,0.0221333166148564,103.398292186634,112.891840514852
"1120",2034,21686,497.154313,0.0229251274093885,104.367316009176,113.91829002294
"1120",2035,21820,517.307934,0.0237079713107241,105.416168582962,114.951242475341
"1120",2036,21955,535.536121,0.0243924445912093,106.527530557831,115.952695911224
"1120",2037,22088,552.960668,0.0250344380659181,107.701457327339,116.929672833832
"1120",2038,22219,570.192326,0.0256623757144786,108.94165914855,117.893925724637
"1120",2039,22348,589.373511,0.0263725394218722,110.271201715254,118.887151855752
"1120",2040,22473,609.318891,0.0271133756507809,111.673049599203,119.876879358725
"1120",2041,22594,625.418268,0.0276807235549261,113.087089233888,120.772964881341
"1120",2042,22710,643.712977,0.0283449131219727,114.582034202816,121.688620289738
"1120",2043,22823,660.079916,0.0289216981115541,116.107598193636,122.552675516794
"1120",2044,22931,679.112227,0.0296154649600977,117.72049658664,123.445802047277
"1120",2045,23034,700.515422,0.0304122350438482,119.419604724727,124.362590430433
"1120",2046,23132,720.878264,0.0311636807885181,121.150448400678,125.235821647857
"1120",2047,23225,743.471515,0.0320116906350915,122.96570046594,126.130366722186
"1120",2048,23312,765.782395,0.0328492791266301,124.817352407016,126.991732331909
"1120",2049,23393,789.623879,0.0337547077758304,126.736564636946,127.856171051372
"1120",2050,23469,819.601523,0.0349227288337807,128.821338448971,128.821338448971
"1121",2026,19833,362.776324,0.01829155064791,116.906590678791,107.06590678791
"1121",2027,20018,376.380856,0.0188021208911979,116.661688689537,108.266826832994
"1121",2028,20199,393.940768,0.019502983712065,116.517134495339,109.526482830509
"1121",2029,20377,411.582424,0.0201983817048633,116.46434156939,110.773372091247
"1121",2030,20550,427.946952,0.0208246691970803,116.492579561047,111.970318244188
"1121",2031,20721,448.088432,0.0216248459051204,116.629582442733,113.233330235593
"1121",2032,20889,467.169513,0.0223643790033032,116.849801711255,114.460928342324
"1121",2033,21055,484.433509,0.0230080032771313,117.145494400911,115.642743174928
