"kommunenr_2024","år","y5_predikert","y5_nedre","y5_ovre","n_bootstrap_ok"
"1121",2047,159.484754634299,144.104749522389,171.968593320998,60
"1121",2048,161.954936797975,145.71352864506,175.159807678877,60
"1121",2049,164.357358459422,147.266154992844,178.277409240633,60
"1121",2050,166.729729183098,148.786102216577,181.370984781555,60
"1122",2026,68.9416643178117,68.8471338977932,69.9901809355234,60
"1122",2027,68.1896306534125,67.9655187320537,70.2072858001962,60
"1122",2028,67.6997889048912,67.2729566894313,70.716245996847,60
"1122",2029,67.3558639939493,66.7004064526501,71.3907135962187,60
"1122",2030,67.1578749178061,66.2493396475474,72.2300428584197,60
"1122",2031,67.3245926665475,66.0518765539317,73.4706690162823,60
"1122",2032,67.6319408458269,65.9668754470986,74.8698007677837,60
"1122",2033,68.3700431049894,66.1734251798151,76.740523003306,60
"1122",2034,69.268246436298,66.5029708014132,78.7902211632675,60
"1122",2035,70.2688302083804,66.92148075155,80.9570752058419,60
"1122",2036,71.6487193704978,67.5977303966453,83.5391461010915,60
"1122",2037,73.0801433118792,68.6198116908288,85.1432254708069,60
"1122",2038,74.5059779106535,69.6340221457604,86.9193944575401,60
"1122",2039,76.0677543297873,70.7203559685587,88.873770950352,60
"1122",2040,77.4255106299533,71.6595546533109,90.5682866432695,60
"1122",2041,78.7744007145902,72.5854488025391,92.2550281406682,60
"1122",2042,80.3421338752004,73.6288467272397,94.2277013878035,60
"1122",2043,81.6745588125742,74.5303846600047,95.9002383943195,60
"1122",2044,83.3073936578349,75.5898514066053,97.9668070894053,60
"1122",2045,84.7350413341133,76.5229902251376,99.7725283385426,60
"1122",2046,86.2531584341994,77.493198000357,101.701681965464,60
"1122",2047,87.6230495161358,78.3700204901109,103.443115735108,60
"1122",2048,88.9895897584393,79.2319371303267,105.185909320174,60
"1122",2049,90.6431626961698,80.2396364148609,107.309025914138,60
"1122",2050,91.9757236290432,81.0558010586102,109.019736607304,60
"1124",2026,166.88461576889,166.712352410206,167.442800655209,60
"1124",2027,167.327849892342,166.913104512306,168.393276622449,60
"1124",2028,168.233029152503,167.504636268961,169.810220061572,60
"1124",2029,169.649305552346,168.521105032565,171.741999456795,60
"1124",2030,171.576968766206,169.959261043055,174.188284712311,60
"1124",2031,174.040131233026,171.832210278447,177.172500170223,60
"1124",2032,177.170357140359,174.23033871103,180.82382569842,60
"1124",2033,180.629533297028,176.860654490217,184.844012689213,60
"1124",2034,184.988967780882,180.07246574356,189.964851303882,60
"1124",2035,189.85234577393,183.657949442164,195.940833650231,60
"1124",2036,195.102395548011,187.547601808627,202.392895927715,60
"1124",2037,198.525561743005,190.035396534361,206.568222718234,60
"1124",2038,201.559209292502,192.269196175084,210.249360767239,60
"1124",2039,204.984669712052,194.721327870856,214.465186833915,60
"1124",2040,208.415979154739,197.155531539726,218.710436297969,60
"1124",2041,211.911021263463,199.608396115981,223.060664143404,60
"1124",2042,215.42525701889,202.052896293845,227.457465829157,60
"1124",2043,218.747903447423,204.361836782907,231.621127150897,60
"1124",2044,222.777937977705,207.065747666183,236.756525815878,60
"1124",2045,226.527428762619,209.577634227987,241.586456769735,60
