kommunenr,kommune,fil,dokumenttype,format,nedlasting,sider,demografi_avsnitt
3326,Hemsedal,3326_hemsedal_bustadpolitisk_plan_kunnskapsgrunnlag,bolig,pdf,finnes,32,23
3326,Hemsedal,3326_hemsedal_bustadpolitisk_plan_moglegheitsstudie,bolig,pdf,finnes,32,9
3328,Ål,3328_aal_plan_helse_omsorgstenester_2025-2028,helse_omsorg,pdf,finnes,35,18
3330,Hol,3330_hol_boligstrategi,bolig,pdf,finnes,27,22
3330,Hol,3330_hol_handlingsplan_folkehelse_2021-2033,folkehelse,pdf,finnes,16,10
3330,Hol,3330_hol_tettstedsanalyse_geilo,kunnskapsgrunnlag,pdf,finnes,52,4
3330,Hol,3330_hol_strategi_ehelse_2024-2027,helse_omsorg,pdf,finnes,6,2
3334,Flesberg,3334_flesberg_boligsosial_strategi_2022-2026,bolig,pdf,finnes,23,15
3336,Rollag,3336_rollag_barnetrakk_eldretrakk_2020,kunnskapsgrunnlag,pdf,finnes,14,2
3338,Nore og Uvdal,3338_nore-og-uvdal_boligutvikling_2023-2026,bolig,pdf,finnes,36,22
3338,Nore og Uvdal,3338_nore-og-uvdal_demensplan_2026-2031,helse_omsorg,pdf,finnes,23,17
3338,Nore og Uvdal,3338_nore-og-uvdal_eiendomsstrategi,bolig,pdf,finnes,13,3
